iter	Passed	Remaining
891	1667	17028
892	1669	17024
893	1670	17017
894	1672	17013
895	1674	17009
896	1675	17005
897	1677	16998
898	1678	16994
899	1680	16993
900	1682	16991
901	1684	16987
902	1685	16984
903	1687	16982
904	1689	16978
905	1690	16972
906	1692	16968
907	1694	16968
908	1696	16963
909	1697	16959
910	1699	16954
911	1700	16947
912	1702	16948
913	1704	16945
914	1706	16942
915	1708	16938
916	1709	16933
917	1711	16930
918	1713	16932
919	1715	16931
920	1717	16932
921	1719	16931
922	1721	16929
923	1723	16933
924	1726	16936
925	1727	16932
926	1729	16927
927	1731	16922
928	1732	16920
929	1734	16916
930	1736	16914
931	1738	16910
932	1739	16908
933	1741	16905
934	1743	16902
935	1745	16898
936	1746	16896
937	1748	16891
938	1750	16889
939	1752	16887
940	1753	16885
941	1755	16880
942	1757	16875
943	1758	16872
944	1760	16868
945	1762	16867
946	1764	16864
947	1765	16860
948	1767	16858
949	1769	16855
950	1771	16851
951	1772	16846
952	1774	16842
953	1775	16838
954	1777	16834
955	1779	16836
956	1781	16831
957	1783	16828
958	1785	16837
959	1787	16830
960	1789	16827
961	1790	16822
962	1792	16820
963	1794	16819
964	1795	16814
965	1797	16810
966	1799	16805
967	1800	16800
968	1802	16795
969	1803	16792
970	1805	16788
971	1807	16786
972	1808	16782
973	1810	16778
974	1812	16776
975	1814	16779
976	1816	16775
977	1817	16769
978	1819	16765
979	1821	16761
980	1822	16758
981	1824	16755
982	1826	16753
983	1828	16750
984	1830	16748
985	1831	16747
986	1833	16742
987	1835	16738
988	1836	16735
989	1838	16732
990	1840	16728
991	1841	16724
992	1843	16719
993	1844	16715
994	1846	16712
995	1848	16708
996	1849	16704
997	1851	16702
998	1853	16702
999	1855	16699
1000	1857	16697
1001	1859	16694
1002	1860	16690
1003	1862	16687
1004	1864	16685
1005	1866	16683
1006	1867	16679
1007	1869	16677
1008	1871	16673
1009	1872	16669
1010	1874	16664
1011	1875	16661
1012	1877	16656
